name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
"Jesus, Mary and Joseph's Church",Peru,South America,,,,,,http://www.wikidata.org/entity/Q42827777,-71.978062,-13.516041
Jōmon Prehistoric Sites in Northern Japan,Japan,Asia,1632,,2021,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979,https://jomon-japan.jp/,http://www.wikidata.org/entity/Q11402500,140.552216666,41.065555555
K'gari,Australia,Oceania,630,,1992,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985,https://parks.des.qld.gov.au/parks/kgari-fraser,http://www.wikidata.org/entity/Q134905,153.15,-25.24
Kaiping Diaolou and Villages,People's Republic of China,Asia,1112,,2007,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q16303641,112.520782,22.261814
Kakadu National Park,Australia,Oceania,147quater-001,,,,http://www.environment.gov.au/topics/national-parks/kakadu-national-park,http://www.wikidata.org/entity/Q189657,132.519512,-13.005471
Kapova Cave,Russia,Europe,1743,1950,2025,http://www.wikidata.org/entity/Q23038977,http://www.shulgan-tash.ru/cave-shulgan-tash-kapova/,http://www.wikidata.org/entity/Q1643788,57.063888888,53.044444444
Kizhi Pogost,Russia,Europe,544,,1990,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q477462,35.22345,62.06767
Kremlin and Red Square,Russia,Europe,545,,1990,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q16961872,37.62,55.75361111
Kremlin of Suzdal and Cathedral of the Nativity,Russia,Europe,633-006,,,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q116505071,40.433333333,56.416666666
Lake Baikal,Russia,Europe,754,,1996,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q5513,108.00472222,53.30277778
